UNITID,XBAREVCT,BAREVCT,XBAEXCLU,BAEXCLU,XBAAC150,BAAC150,XBANC100,BANC100,XBAGR100,BAGR100,XBANC150,BANC150,XBAGR150,BAGR150,XBAAEXCL,BAAEXCL,XBAAC200,BAAC200,XBANC20A,BANC200A,XBASTEND,BASTEND,XBANC200,BANC200,XBAGR200,BAGR200,XL4REVCT,L4REVCT,XL4EXCLU,L4EXCLU,XL4AC150,L4AC150,XL4NC100,L4NC100,XL4GR100,L4GR100,XL4NC150,L4NC150,XL4GR150,L4GR150,XL4AEXCL,L4AEXCL,XL4AC200,L4AC200,XL4NC20A,L4NC200A,XL4STEND,L4STEND,XL4NC200,L4NC200,XL4GR200,L4GR200 
110680,"R",3720,"R",0,"R",3720,"R",2092,"R",56,"R",3174,"R",85,"R",0,"R",3720,"R",79,"R",467,"R",3253,"R",87,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
110705,"R",3799,"R",0,"R",3799,"R",2513,"R",66,"R",3031,"R",80,"Z",0,"R",3799,"R",47,"R",13,"R",3078,"R",81,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
110714,"R",2923,"R",2,"R",2921,"R",1471,"R",50,"R",2143,"R",73,"R",1,"R",2920,"R",73,"R",12,"R",2216,"R",76,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
110875,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",31,"R",0,"R",31,"R",1,"R",3,"R",19,"R",61,"R",0,"R",31,"R",2,"R",0,"R",21,"R",68
110918,"R",2,"R",0,"R",2,"Z",0,"R",0,"Z",0,"R",0,"R",0,"R",2,"R",2,"R",0,"R",2,"R",100,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
110945,"R",83,"R",5,"R",78,"Z",0,"R",0,"R",36,"R",46,"R",0,"R",78,"R",0,"R",0,"R",36,"R",46,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
111009,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",567,"R",0,"R",567,"R",167,"R",29,"R",313,"R",55,"R",0,"R",567,"R",7,"R",3,"R",320,"R",56
111054,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",204,"R",0,"R",204,"R",25,"R",12,"R",141,"R",69,"R",0,"R",204,"R",8,"R",0,"R",149,"R",73
111081,"R",138,"R",0,"R",138,"R",70,"R",51,"R",90,"R",65,"R",0,"R",138,"R",0,"R",0,"R",90,"R",65,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
111188,"R",146,"R",0,"R",146,"R",72,"R",49,"R",91,"R",62,"R",0,"R",146,"R",4,"R",1,"R",95,"R",65,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
